age,fare,embarked,cabin,pclass,sex,sibsp,parch,ticket,survival
26,13,S,F2,2,male,0,0,244368,0
18,20.2125,S,missing,3,male,1,1,370129,0
26,22.025,S,missing,3,female,1,1,315153,1
24,26,S,missing,2,female,1,0,244367,1
27,247.5208,C,B58 B60,1,female,1,1,PC 17558,1
28,23.25,Q,missing,3,male,2,0,367226,1
28,7.2292,C,missing,3,male,0,0,2673,0
21,8.05,S,missing,3,male,0,0,342684,0
28,29.7,C,C47,1,male,0,0,11774,1
20,7.8542,S,missing,3,male,0,0,350050,0
35,512.3292,C,B101,1,male,0,0,PC 17755,1
28,9.5,S,missing,3,male,0,0,345770,0
28,33,S,missing,2,male,0,1,248727,0
29,13.8583,C,missing,2,male,0,0,SC/PARIS 2147,1
28,14.5,S,missing,3,male,0,0,358585,0
26,8.6625,S,missing,3,male,2,0,315151,0
4,27.9,S,missing,3,male,3,2,347088,0
41,51.8625,S,D21,1,male,1,0,17464,0
28,7.55,S,missing,3,male,0,0,S.O./P.P. 751,0
70,71,S,B22,1,male,1,1,WE/P 5735,0
56,30.6958,C,A7,1,male,0,0,17764,0
37,83.1583,C,E52,1,male,1,1,PC 17756,0
60.5,14.4542,S,missing,3,male,0,0,3701,0
29,26,S,missing,2,female,1,0,26707,1
1,11.1333,S,missing,3,female,1,1,347742,1
28,23.45,S,missing,3,male,1,2,W./C. 6607,0
33,7.8542,S,missing,3,male,0,0,347465,0
31,21,S,missing,2,female,0,0,CA 31352,1
28,7.75,Q,missing,3,male,0,0,368402,1
28,7.75,Q,F38,3,male,0,0,383121,0
33,151.55,S,missing,1,female,0,0,113781,1
13,19.5,S,missing,2,female,0,1,250644,1
4,23,S,missing,2,female,1,1,29103,1
30,13.8583,C,missing,2,female,1,0,SC/PARIS 2148,1
28,7.725,Q,missing,3,male,0,0,36209,0
22,7.725,Q,missing,3,female,0,0,334914,1
28,7.8792,Q,missing,3,male,0,0,330971,0
30,56.9292,C,E36,1,female,0,0,PC 17485,1
2,26,S,missing,2,female,1,1,26360,1
49,110.8833,C,C68,1,male,1,1,17421,0
35,26.2875,S,E24,1,male,0,0,PC 17475,1
2,23,S,missing,2,male,1,1,29103,1
42,26,S,missing,2,female,1,0,SC/AH 3085,1
2,151.55,S,C22 C26,1,female,1,2,113781,0
18,13,S,missing,2,male,0,0,236171,0
28,8.05,S,missing,3,male,0,0,SOTON/OQ 3101316,0
28,26,S,missing,2,male,0,0,244358,0
25,13,S,missing,2,male,0,0,234686,0
24,7.1417,S,missing,3,male,0,0,C 17369,1
30,106.425,C,missing,1,female,0,0,PC 17761,1
28,8.05,S,missing,3,male,0,0,A4. 54510,0
28,7.8792,Q,missing,3,female,0,0,330980,1
0.75,19.2583,C,missing,3,female,2,1,2666,1
33,8.6542,S,missing,3,male,0,0,7540,0
26,14.4542,C,missing,3,male,1,0,2680,0
4,29.125,Q,missing,3,male,4,1,382652,0
20,13.8625,C,D38,2,male,0,0,SC/PARIS 2166,1
30,24.15,S,missing,3,female,1,1,345773,0
18,23,S,missing,2,female,0,1,231919,1
32,7.8542,S,missing,3,male,0,0,350417,1
32,30.5,C,B50,1,male,0,0,13214,1
31,50.4958,S,A24,1,male,0,0,PC 17590,0
25,0,S,missing,3,male,0,0,LINE,1
42,8.4042,S,missing,3,male,0,1,4579,0
30,27.75,C,C111,1,male,0,0,113051,0
28,7.2292,C,missing,3,male,0,0,2641,0
26.5,7.225,C,missing,3,male,0,0,2656,0
41,7.85,S,missing,3,male,0,0,SOTON/O.Q. 3101263,0
28,7,S,missing,3,male,0,0,343271,0
32,7.8958,S,missing,3,male,0,0,349242,0
1,15.7417,C,missing,3,female,0,2,2653,1
28,15.2458,C,missing,3,male,1,1,2661,1
18.5,13,S,F,2,male,0,0,248734,0
20,7.925,S,missing,3,male,0,0,SOTON/O2 3101287,0
24,8.85,S,missing,3,female,0,0,349236,0
52,13.5,S,missing,2,male,0,0,248731,0
32,15.85,S,missing,3,male,1,0,3101278,0
21,7.25,S,missing,3,male,0,0,SOTON/OQ 3101317,0
28,0,S,missing,2,male,0,0,239853,0
46,75.2417,C,C6,1,male,0,0,13050,0
62,26.55,S,C87,1,male,0,0,113514,0
33,53.1,S,E8,1,female,1,0,113806,1
22,41.5792,C,missing,2,female,1,2,SC/Paris 2123,1
18,8.3,S,missing,3,male,0,0,2223,0
31,7.775,S,missing,3,male,0,0,347063,0
23,82.2667,S,B45,1,female,1,0,21228,1
28,7.2292,C,missing,3,male,0,0,2629,0
28,0,S,missing,2,male,0,0,239856,0
38,90,S,C93,1,male,1,0,19943,1
16,9.5,S,missing,3,male,0,0,345778,0
28,7.8958,C,missing,3,male,0,0,349255,0
36,27.75,S,missing,2,male,1,2,C.A. 34651,0
22,7.25,S,missing,3,female,0,0,C 7077,1
28,7.225,C,missing,3,female,0,0,2649,1
28,69.55,S,missing,3,female,8,2,CA. 2343,0
28,7.25,S,missing,3,male,0,0,323592,0
22,9,S,missing,3,male,0,0,345767,0
51,39.4,S,D28,1,female,0,1,PC 17592,1
28,39.6,C,missing,1,male,0,0,112379,0
24,7.55,S,missing,3,male,0,0,S.O./P.P. 752,1
38,7.05,S,missing,3,male,0,0,SOTON/O.Q. 3101306,0
31,7.75,Q,missing,3,male,0,0,335097,0
28,15.2458,C,missing,3,female,0,2,2661,1
51,61.3792,C,missing,1,male,0,1,PC 17597,0
23,113.275,C,D36,1,female,1,0,35273,1
25,7.775,S,missing,3,male,1,0,347076,0
40,7.8958,S,missing,3,male,0,0,349251,0
40,31.3875,S,missing,3,male,1,5,347077,0
35,21,S,missing,2,female,0,0,F.C.C. 13528,1
18,7.4958,S,missing,3,female,0,0,3101265,1
40,153.4625,S,C125,1,female,0,0,PC 17582,1
36,75.2417,C,C6,1,male,0,0,13050,0
24,69.3,C,B35,1,female,0,0,PC 17477,1
45,35.5,S,T,1,male,0,0,113784,0
18,18,S,missing,3,female,2,0,345764,0
20,7.8542,S,missing,3,female,0,0,347471,0
30,93.5,S,B73,1,female,0,0,12749,1
32,10.5,S,missing,2,male,0,0,C.A. 33111,0
2,20.2125,S,missing,3,female,1,1,370129,0
32,56.4958,S,missing,3,male,0,0,1601,1
48,262.375,C,B57 B59 B63 B66,1,female,1,3,PC 17608,1
28,9.5,S,missing,3,male,0,0,345783,0
28,7.7333,Q,missing,3,female,0,0,35852,1
39,31.275,S,missing,3,male,1,5,347082,0
19,7.8958,S,missing,3,male,0,0,349231,0
16,8.05,S,missing,3,male,0,0,SOTON/OQ 392089,1
21,10.5,S,missing,2,female,0,0,C.A. 31026,1
56,35.5,C,A26,1,male,0,0,13213,1
28,0,S,missing,2,male,0,0,239853,0
24,9.325,S,missing,3,male,0,0,7266,0
39,29.7,C,A18,1,male,0,0,PC 17580,0
32,7.5792,S,missing,3,male,0,0,350403,1
27,7.925,S,missing,3,female,1,0,STON/O2. 3101270,0
26,20.575,S,missing,3,male,1,2,C.A. 2315,0
14,39.6875,S,missing,3,male,4,1,3101295,0
28,7.75,Q,missing,3,female,0,0,9234,1
21,26.55,S,missing,1,female,0,0,113795,1
23,8.05,S,missing,3,female,0,0,SOTON/OQ 392083,1
28,7.8958,S,missing,3,male,0,0,349235,0
28,7.7375,Q,missing,3,female,0,0,36866,1
28,9.5,S,missing,3,male,0,0,345777,0
11,120,S,B96 B98,1,male,1,2,113760,1
34,14.4,S,missing,3,male,1,1,347080,0
30,16.1,S,missing,3,male,1,0,A/5. 3336,0
28,69.55,S,missing,3,male,8,2,CA. 2343,0
61,12.35,Q,missing,2,male,0,0,235509,0
28,7.2292,C,missing,3,male,0,0,2686,0
45,13.5,S,missing,2,female,0,0,223596,1
24,16.7,S,G6,3,female,0,2,PP 9549,1
26,16.1,S,missing,3,female,1,0,A/5. 3336,0
28,15.5792,C,missing,2,male,0,0,SC/A.3 2861,0
21,24.15,S,missing,3,male,2,0,A/4 48871,0
16,7.775,S,missing,3,male,0,0,347074,0
22,7.775,S,missing,3,female,0,0,347085,1
28,7.8958,C,missing,3,male,0,0,349253,0
54,26,S,missing,2,male,1,0,244252,0
23,13.9,S,missing,3,male,1,0,347072,0
28,23.45,S,missing,3,female,1,2,W./C. 6607,0
28,7.75,Q,missing,3,male,1,0,367229,0
44,90,Q,C78,1,male,2,0,19928,0
55,25.7,S,C101,1,female,2,0,11770,1
21,77.9583,S,D9,1,female,0,0,13502,1
1,37.0042,C,missing,2,male,0,2,S.C./PARIS 2079,1
28,7.75,Q,missing,3,male,0,0,368783,1
48,76.7292,C,D33,1,male,1,0,PC 17572,1
28,35,S,C128,1,male,0,0,113510,0
20,7.225,C,missing,3,male,0,0,2679,0
33,12.275,S,missing,2,male,0,0,SCO/W 1585,0
25,55.4417,C,E50,1,female,1,0,11765,1
28,7.775,S,missing,3,female,0,0,347086,0
30,7.8958,S,missing,3,male,0,0,349246,0
28,13,S,missing,2,female,0,0,230434,1
26,7.8958,S,missing,3,male,0,0,349202,0
28,7.55,S,missing,3,male,0,0,C.A. 42795,0
64,26.55,S,B26,1,female,1,1,112901,1
55,93.5,S,B69,1,male,1,1,12749,0
28,7.75,Q,missing,3,male,0,0,364851,0
27,12.475,S,E121,3,female,0,1,392096,1
25,9.5,S,missing,3,male,0,0,345768,1
35,53.1,S,C123,1,female,1,0,113803,1
28,8.05,S,missing,3,male,0,0,A/5 2466,0
23,13,S,missing,2,male,0,0,29751,0
40,0,S,B94,1,male,0,0,112059,0
24,8.05,S,missing,3,male,0,0,343275,0
38,21,S,missing,2,male,1,0,28664,0
28,7.25,S,missing,3,male,0,0,392095,0
22,9.8375,S,missing,3,female,0,0,7553,0
28,15.5,Q,missing,3,male,1,0,370365,0
35,7.8958,S,missing,3,male,0,0,349230,0
28,7.75,Q,missing,3,female,0,0,383123,1
12,11.2417,C,missing,3,male,1,0,2651,1
40,39,S,missing,2,female,1,1,29750,1
54,81.8583,S,A34,1,female,1,1,33638,1
28,26.55,S,missing,1,male,0,0,111427,1
36,12.875,C,D,2,male,0,0,SC/Paris 2163,0
25,55.4417,C,E50,1,male,1,0,11765,1
40,7.225,C,missing,3,male,0,0,2623,0
55,50,S,C39,1,male,0,0,680,0
19,10.5,S,missing,2,male,0,0,28004,0
23,7.8542,S,missing,3,male,0,0,347468,0
22,7.225,C,missing,3,male,0,0,2620,1
22,12.2875,S,missing,3,female,1,1,3101298,1
43,8.05,S,missing,3,male,0,0,A/5 3536,0
22,135.6333,C,missing,1,male,0,0,PC 17760,0
28.5,27.7208,C,D43,1,male,0,0,PC 17562,0
22,39.6875,S,missing,3,female,0,0,3101295,0
29,9.4833,S,missing,3,male,0,0,7545,0
24,24.15,S,missing,3,male,2,0,A/4 48871,0
21,8.05,S,missing,3,male,0,0,A./5. 2152,0
30,21,S,missing,2,male,1,0,CA 31352,0
46,61.175,S,E31,1,male,1,0,W.E.P. 5734,0
15,211.3375,S,B5,1,female,0,1,24160,1
28,39.6,S,missing,1,male,0,0,PC 17607,1
49,25.9292,S,D17,1,female,0,0,17465,1
21,7.7333,Q,missing,3,male,0,0,A/5. 13032,0
29,10.5,S,F33,2,female,0,0,C.A. 29395,1
18,8.05,S,missing,3,female,0,0,A/4 31416,1
37,9.5875,S,missing,3,female,0,0,4135,0
40,15.75,S,missing,2,female,0,0,C.A. 33595,1
28,21,S,missing,2,female,0,0,F.C.C. 13534,0
28,16.1,S,missing,3,male,1,0,376564,0
28,7.8958,S,missing,3,male,0,0,349214,0
18,11.5,S,missing,2,male,0,0,29108,0
50,55.9,S,E44,1,male,1,0,13507,0
63,77.9583,S,D7,1,female,1,0,13502,1
56,26.55,S,missing,1,male,0,0,113792,0
41,30.5,S,A21,1,male,0,0,113054,0
33,9.5,S,missing,3,male,0,0,345780,0
30,21,S,missing,2,female,3,0,31027,1
28,26.55,S,D34,1,male,0,0,113778,0
19,7.8542,S,missing,3,female,1,0,350046,1
36,31.6792,C,A29,1,female,0,0,PC 17531,0
39,7.925,S,missing,3,male,0,0,STON/O 2. 3101289,1
34,10.5,S,F33,2,female,0,0,C.A. 34260,1
27,11.1333,S,missing,3,female,0,2,347742,1
37,52.5542,S,D35,1,male,1,1,11751,1
33,27.7208,C,A11,1,female,0,0,PC 17613,1
58,512.3292,C,B51 B53 B55,1,female,0,1,PC 17755,1
42,52,S,missing,1,male,1,0,113789,0
14,46.9,S,missing,3,male,5,2,CA 2144,0
29,7.75,Q,missing,3,male,0,0,382651,1
41,14.1083,S,missing,3,male,2,0,350026,0
47,34.0208,S,D46,1,male,0,0,36967,0
50,26,S,E60,1,male,0,0,113044,0
48,7.8542,S,missing,3,male,0,0,350047,0
28,7.8958,S,missing,3,male,0,0,349227,0
27,8.6625,S,missing,3,male,0,0,315154,0
27,7.8792,Q,missing,3,female,0,0,330844,0
20,9.825,S,missing,3,female,1,0,4136,0
29,10.4625,S,G6,3,female,1,1,347054,0
55,30.5,S,C30,1,male,0,0,113787,0
19,13,S,missing,2,female,0,0,28404,1
54,77.2875,S,D26,1,male,0,1,35281,0
64,26,S,missing,1,male,0,0,693,0
28,7.55,S,missing,3,male,0,0,C.A. 49867,0
18,79.65,S,E68,1,female,0,2,110413,1
31,26.25,S,missing,2,male,1,1,C.A. 31921,0
35,90,S,C93,1,female,1,0,19943,1
24,13.5,S,missing,2,male,0,0,248726,0
23,7.8542,S,missing,3,female,0,0,347469,1
24,7.05,S,missing,3,male,0,0,SOTON/O.Q. 3101311,0
24,69.3,C,B35,1,female,0,0,PC 17477,1
39,13,S,missing,2,male,0,0,28213,0
28,7.75,Q,missing,3,male,0,0,370372,0
45,29.7,C,A9,1,male,0,0,PC 17594,1
27,52,S,B71,1,female,1,2,F.C. 12750,1
32,7.925,S,missing,3,male,0,0,STON/O 2. 3101292,0
22,10.5,S,F33,2,female,0,0,W./C. 14266,1
29,26,S,missing,2,male,1,0,2003,0
30,31,C,missing,1,female,0,0,113798,1
19,8.1583,S,missing,3,male,0,0,S.P. 3464,0
60,75.25,C,D37,1,female,1,0,110813,1
28,69.55,S,missing,3,male,8,2,CA. 2343,0
28,0,S,missing,2,male,0,0,239854,0
40.5,14.5,S,missing,3,male,0,2,A/5. 851,0
18,14.4542,C,missing,3,female,0,1,2691,0
59,51.4792,S,C101,1,female,2,0,11769,1
37,90,Q,C78,1,female,1,0,19928,1
50,8.05,S,missing,3,male,0,0,A/5 3594,0
25,7.8958,S,missing,3,male,0,0,349203,0
28,23.25,Q,missing,3,female,2,0,367226,1
31,13,S,missing,2,male,0,0,244270,1
28,7.75,Q,missing,3,male,0,0,383162,1
3,26,S,F2,2,male,1,1,230080,1
67,221.7792,S,C55 C57,1,male,1,0,PC 17483,0
28,7.8958,S,missing,3,male,0,0,349207,0
27,136.7792,C,C89,1,male,1,0,13508,0
59,13.5,S,missing,2,male,0,0,237442,0
28,26.55,S,C124,1,male,0,0,113028,0
2,10.4625,S,G6,3,female,0,1,347054,0
23,7.55,S,missing,3,female,0,0,CA. 2314,1
31,37.0042,C,missing,2,male,1,1,S.C./PARIS 2079,0
60,263,S,C23 C25 C27,1,female,1,4,19950,1
28,52,S,C126,1,female,1,0,19996,1
39,83.1583,C,E49,1,female,1,1,PC 17756,1
53,27.4458,C,missing,1,female,0,0,PC 17606,1
22,7.25,S,missing,3,male,1,0,A/5 21171,0
28,7.75,Q,missing,3,male,0,0,370374,0
21,7.65,S,missing,3,female,0,0,343120,1
23,10.5,S,missing,2,male,0,0,C.A. 31030,0
40,13,S,missing,2,male,0,0,28221,0
4,31.275,S,missing,3,male,4,2,347082,0
40,13,S,missing,2,female,0,0,31418,1
28,7.25,S,missing,3,male,0,0,362316,0
25,7.8958,S,missing,3,male,0,0,349250,0
36,13,S,missing,2,male,0,0,229236,0
28,7.2292,C,F E46,3,male,0,0,2655,0
45.5,7.225,C,missing,3,male,0,0,2628,0
32,8.3625,S,missing,3,male,0,0,8471,0
48,25.9292,S,D17,1,female,0,0,17466,1
27,7.7958,S,missing,3,male,0,0,350043,1
28,13.8625,C,missing,2,male,0,0,SC/PARIS 2146,1
28,51.8625,S,E46,1,male,0,0,17463,0
19,26,S,missing,2,female,1,0,2908,1
25,7.05,S,missing,3,male,0,0,SOTON/OQ 392076,0
30,13,S,missing,2,male,0,0,28228,0
28,31,S,missing,1,male,0,0,113798,0
28,22.525,S,missing,3,male,0,0,C 4001,0
24,31.5,S,missing,2,male,2,0,C.A. 31029,0
28,14.5,S,missing,3,female,0,0,364498,0
16,46.9,S,missing,3,female,5,2,CA 2144,0
49,65,S,missing,2,male,1,2,220845,0
42,52.5542,S,D19,1,male,1,0,11753,1
30.5,7.75,Q,missing,3,female,0,0,364850,0
28,7.75,Q,missing,3,female,0,0,365237,0
30,13,S,missing,2,male,0,0,250646,0
30,13,S,missing,2,male,0,0,248744,0
28,23.45,S,missing,3,male,1,2,W./C. 6607,0
20,7.2292,C,missing,3,male,0,0,2663,1
15,39,S,missing,2,female,0,2,29750,1
23,11.5,S,missing,2,male,2,1,29104,0
50,247.5208,C,B58 B60,1,female,0,1,PC 17558,1
0.75,13.775,S,missing,3,male,1,1,SOTON/O.Q. 3101315,0
36.5,17.4,S,missing,3,male,1,0,345572,1
30,8.05,S,missing,3,male,0,0,A.5. 18509,0
23,13,S,missing,2,male,0,0,28425,0
2,12.2875,S,missing,3,female,0,1,3101298,1
27,211.5,C,C82,1,male,0,2,113503,0
28,16.1,S,missing,3,female,1,0,386525,1
44,26,S,missing,2,male,1,0,26707,0
49,0,S,B52 B54 B56,1,male,0,0,112058,1
38,8.6625,S,missing,3,male,0,0,315089,0
27,7.225,C,missing,3,male,0,0,2670,0
49,89.1042,C,C92,1,male,1,0,17453,1
19,14.5,S,missing,3,male,0,0,358585,0
18,7.75,S,missing,3,male,0,0,347078,0
64,83.1583,C,E45,1,female,0,2,PC 17756,1
25,7.65,S,F G73,3,male,0,0,348123,0
26,13,S,missing,2,male,0,0,237670,0
34,23,S,missing,2,female,0,1,231919,1
28,7.8292,Q,missing,3,male,0,0,330979,0
32,13,S,missing,2,male,0,0,244360,0
8,36.75,S,missing,2,male,1,1,C.A. 33112,1
19,10.1708,S,missing,3,male,0,0,349228,0
50,133.65,S,missing,1,male,2,0,PC 17611,1
40,27.9,S,missing,3,male,1,4,347088,0
25,7.775,S,missing,3,female,0,0,347071,0
17,108.9,C,C65,1,female,1,0,PC 17758,1
28,8.7125,C,missing,3,male,0,0,3411,0
47,52.5542,S,D35,1,female,1,1,11751,1
28,69.55,S,missing,3,female,8,2,CA. 2343,0
29,22.025,S,missing,3,male,3,1,315153,1
18,262.375,C,B57 B59 B63 B66,1,female,2,2,PC 17608,1
46,79.2,C,missing,1,male,0,0,PC 17585,0
28,7.75,Q,missing,3,male,0,0,12460,0
45,262.375,C,missing,1,female,0,0,PC 17608,1
33,27.75,S,missing,2,female,1,2,C.A. 34651,1
22,9.35,S,missing,3,male,0,0,PP 4348,0
27,13,S,missing,2,male,0,0,211536,0
1,12.1833,S,missing,3,female,1,1,350405,0
19,7.8792,Q,missing,3,female,0,0,330958,1
28,8.05,S,missing,3,male,0,0,363611,0
36,26.3875,S,E25,1,male,0,0,PC 17474,1
36,0,S,missing,3,male,0,0,LINE,0
31,26.25,S,missing,2,female,1,1,C.A. 31921,1
26,7.8875,S,missing,3,male,0,0,3474,0
16,7.65,S,missing,3,female,0,0,348125,1
9,31.275,S,missing,3,female,4,2,347082,0
24,19.2583,C,missing,3,female,0,3,2666,1
12,15.75,S,missing,2,female,0,0,C.A. 33595,1
31,7.7333,Q,missing,3,male,0,0,21332,0
46,26,S,missing,1,male,0,0,694,0
26,7.8958,S,missing,3,male,0,0,349224,0
43,211.3375,S,B3,1,female,0,1,24160,1
17,8.6625,S,missing,3,male,0,0,315093,0
22,7.125,S,missing,3,male,0,0,STON/O 2. 3101275,0
28,8.05,S,missing,3,female,0,0,343095,0
16,7.75,Q,missing,3,female,0,0,367231,1
32.5,9.5,S,missing,3,male,0,0,345775,0
62,26.55,S,missing,1,male,0,0,113807,0
43,27.7208,C,D40,1,male,1,0,17765,1
16,8.05,S,missing,3,male,0,0,A/4. 20589,0
52,93.5,S,B69,1,female,1,1,12749,1
3,13.775,S,missing,3,female,1,1,SOTON/O.Q. 3101315,0
2,31.275,S,missing,3,female,4,2,347082,0
38,153.4625,S,C91,1,male,0,1,PC 17582,0
28,0,S,B102,1,male,0,0,112058,0
60,26,S,missing,2,female,1,0,24065,0
36,262.375,C,B61,1,female,0,0,PC 17608,1
40,46.9,S,missing,3,male,1,6,CA 2144,0
21,7.7958,S,missing,3,male,0,0,350034,1
47,14.5,S,missing,3,female,1,0,A/5. 3337,0
38,7.775,S,missing,3,female,4,2,347091,0
25,7.65,S,F G63,3,male,0,0,348122,1
28.5,16.1,S,missing,3,male,0,0,54636,0
17,8.6625,S,missing,3,male,0,0,315095,0
45,52.5542,S,D19,1,female,1,0,11753,1
28,7.8292,Q,missing,3,female,0,0,330919,1
34,13,S,missing,2,female,0,0,243880,1
49,56.9292,C,A20,1,male,1,0,PC 17485,1
28,7.75,Q,missing,3,male,0,0,370377,0
25,7.225,C,missing,3,male,0,0,2672,0
22.5,7.225,C,missing,3,male,0,0,2698,0
28,10.5,S,missing,2,male,0,0,C.A./SOTON 34068,0
19,263,S,C23 C25 C27,1,male,3,2,19950,0
28,15.2458,C,missing,3,female,0,2,2678,0
22,61.9792,C,B36,1,female,0,1,113509,1
29,27.7208,C,missing,2,male,1,0,SC/PARIS 2167,0
28,8.05,S,missing,3,male,0,0,392092,0
31,164.8667,S,C7,1,female,0,2,36928,1
28,8.05,S,missing,3,male,0,0,S.C./A.4. 23567,0
33,8.6625,C,missing,3,male,0,0,349239,0
28,10.5,S,missing,2,male,0,0,SC 14888,0
28,14.4542,C,missing,3,male,1,0,2660,0
33,86.5,S,B77,1,female,0,0,110152,1
21,16.1,S,missing,3,male,0,0,54636,0
19,36.75,S,missing,2,male,1,1,C.A. 33112,0
21,7.775,S,missing,3,male,0,0,345501,1
23,7.925,S,missing,3,female,0,0,STON/O2. 3101290,0
18,73.5,S,missing,2,male,0,0,S.O.C. 14879,0
9,31.3875,S,missing,3,male,4,2,347077,0
54,78.2667,C,D20,1,female,1,0,36947,1
44,7.925,S,missing,3,male,0,0,STON/O 2. 3101269,1
34,8.05,S,missing,3,male,0,0,364506,0
51,7.0542,S,missing,3,male,0,0,347743,0
33,5,S,B51 B53 B55,1,male,0,0,695,0
16,20.25,S,missing,3,male,1,1,C.A. 2673,0
25,26,S,missing,2,male,1,0,236853,0
